day,date,topic,09:00 - 09:45,09:45 - 10:30,10:30 - 12:00,12:00 - 12:45,12:45 - 14:15,14:15 - 15:45,15: 45 - 16:00,16:00 - 16:45,16:45 - 18:00,18:00 - 19:00
1,31. January 2022,"Welcome, GitHub & Markdown",Welcome,Welcome Presentation,Welcome Presentation,Pause,Getting Started: Zoom & Slack,Mac Basics,Pause,GitHub & Markdown,Github Setup,Tägliche Wiederholung
2,1. February 2022,"Shell Intro, HTML Basics",Protokoll Besprechung & Review,GitHub Wiederholung,Shell Intro,Pause,MacBook einrichten,HTML Basics,Pause,HTML Basics,HTML Übungen,Tägliche Wiederholung
3,2. February 2022,"Git Basics, HTML Übung",Protokoll Besprechung & Review,Git Basics,Übungen Git in der Shell,Pause,Einführung Personal Webseite,HTML Übungen an Personal Webseite,Pause,HTML Übungen,HTML Übungen,Tägliche Wiederholung
4,3. February 2022,"CSS Basics, CSS Layout",Protokoll Besprechung & Review,Intro zu CSS,Erste Übungen CSS,Pause,CSS Layout Flexbox,CSS Layout Flexbox,Pause,CSS Übungen,Git Wiederholung,Tägliche Wiederholung
5,4. February 2022,Peronal Website,Protokoll Besprechung & Review,Projektarbeit: Personal Weibseite,Projektarbeit: Personal Weibseite,Pause,Projektarbeit: Personal Weibseite,Projektarbeit: Personal Weibseite,Pause,Projektarbeit: Personal Weibseite,"HTML, Git, GitHub Lernerfolgskontrolle",Tägliche Wiederholung
6,7. February 2022,"CSS Structure, Vercel Deployment",Protokoll Besprechung & Review,Code Review Personal Website,Deployment mit Vercel,Pause,Personal Website Vercel,CSS Structure,Pause,CSS Structure,Personal Website gelernte anwenden,Tägliche Wiederholung
7,8. February 2022,CSS Grid,Protokoll Besprechung & Review,CSS Layout: Grid,CSS Layout: Grid,Pause,CSS Layout: Grid,"Wiederholung: HTML, Git, GitHub",Pause,Übungen CSS Grid,Übungen CSS Grid,Tägliche Wiederholung
8,9. February 2022,"CSS Selectors, HTML Forms, Responsive Web Design",Protokoll Besprechung & Review,CSS Selectors,CSS Selectors,Pause,HTML Forms,Übungen Selectors & Forms,Pause,Responsive Web Design,Responsive Web Design,Tägliche Wiederholung
9,10. February 2022,CSS Positioning,Protokoll Besprechung & Review,CSS Positioning,CSS Positioning,Pause,Übung CSS Positioning,Git Advanced,Pause,Git Advanced,Git Advanced,Tägliche Wiederholung
10,11. February 2022,Quiz App,Protokoll Besprechung & Review,Projektarbeit: Quiz App,Projektarbeit: Quiz App,Pause,Projektarbeit: Quiz App,Projektarbeit: Quiz App,Pause,Projektarbeit: Quiz App,CSS Lernerfolgskontrolle,Tägliche Wiederholung
11,14. February 2022,JavaScript Intro,Protokoll Besprechung & Review,Code Review Quiz App,Übung Quiz App,Pause,JavaScript Intro,JavaScript Intro,Pause,JavaScript Intro,JavaScript Intro,Tägliche Wiederholung
12,15. February 2022,"JavaScript Variables, Functions, Inputs & Strings",Protokoll Besprechung & Review,JavaScript Variables & Functions,JavaScript Variables & Functions,Pause,JavaScript Variables & Functions,JavaScript Input & Strings,Pause,JavaScript Input & Strings,Üben an Quiz App,Tägliche Wiederholung
13,16. February 2022,"JavaScript Maths & Numbers, Booleans",Protokoll Besprechung & Review,JavaScript Wiederholung,JavaScript Math & Numbers,Pause,JavaScript Math & Numbers,JavaScript Booleans Intro,Pause,JavaScript Booleans Intro,Übung,Tägliche Wiederholung
14,17. February 2022,Linting Basics & Andvanced,Protokoll Besprechung & Review,Linting Basics,Linting Basics,Pause,Linting Basics,Linting Advanced,Pause,Linting Advanced,Linting Advanced,Tägliche Wiederholung
15,18. February 2022,Quiz App,Protokoll Besprechung & Review,Projektarbeit: Quiz App,Projektarbeit: Quiz App,Pause,JavaScript 1 Lernerfolgskontrolle,1on1s,Pause,1on1s,1on1s,Tägliche Wiederholung
16,21. February 2022,JavaScript Objects & Arrays,Protokoll Besprechung & Review,Code Review Quiz App,Arbeiten an Quiz App,Pause,Arbeiten an Quiz App,JavaScript Objects & Arrays Intro,Pause,JavaScript Objects & Arrays Intro,Übung,Tägliche Wiederholung
17,22. February 2022,"Browser API fetch, JavaScript Array Methoden",Protokoll Besprechung & Review,JavaScript fetch Intro,JavaScript fetch Intro,Pause,JavaScript fetch Intro,JavaScript Array Methods Basics,Pause,JavaScript Array Methods Basics,JavaScript Array Methods Basics,Tägliche Wiederholung
18,23. February 2022,"ES Next, JavaScript Advanced",Protokoll Besprechung & Review,Intro zu ES Next,Intro zu ES Next,Pause,JavaScript Advanced Practice,JavaScript Advanced Practice,Pause,JavaScript Advanced Practice,JavaScript Advanced Practice,Tägliche Wiederholung
